# Number of nodes along X and Y directions respectively (2D Mesh Topology)
4 4
# Traffic information
# Number of Routers
# Format: Router ID	NorthBuffer	EastBuffer	WestBuffer	SouthBuffer
# Port numbers:	North(N):0 ,	East(E):1 ,	West(W):2 ,	South(S):3
16
0 0 680 0 896 0 1 0 1
1 0 977 640 872 0 1 1 1
2 0 776 896 744 0 1 1 1
3 0 0 672 448 0 0 1 1
4 976 768 0 1136 1 1 0 1
5 872 1024 688 1152 1 1 1 1
6 672 816 904 1008 1 1 1 1
7 360 0 832 616 1 0 1 1
8 1256 744 0 776 1 1 0 1
9 1144 992 736 888 1 1 1 1
10 784 696 1032 792 1 1 1 1
11 392 0 744 448 1 0 1 1
12 1032 504 0 0 1 1 0 0
13 936 816 728 0 1 1 1 0
14 504 552 1088 0 1 1 1 0
15 264 0 760 0 1 0 1 0
