# Number of nodes along X and Y directions respectively (2D Mesh Topology)
4 4
# Traffic information
# Number of Routers
# Format: Router ID	NorthBuffer	EastBuffer	WestBuffer	SouthBuffer
# Port numbers:	North(N):0 ,	East(E):1 ,	West(W):2 ,	South(S):3
16
0 0 712 0 896 0 1 0 1
1 0 968 640 704 0 1 1 1
2 0 888 840 672 0 1 1 1
3 0 0 760 552 0 0 1 1
4 920 680 0 1120 1 1 0 1
5 859 984 560 944 1 1 1 1
6 632 736 912 856 1 1 1 1
7 488 0 648 736 1 0 1 1
8 1256 672 0 912 1 1 0 1
9 1140 952 800 712 1 1 1 1
10 792 712 1045 744 1 1 1 1
11 664 0 680 464 1 0 1 1
12 984 624 0 0 1 1 0 0
13 720 864 776 0 1 1 1 0
14 520 656 984 0 1 1 1 0
15 480 0 632 0 1 0 1 0
